Long,Lat,#,Time
-107:44:41.1,50:17:06.6,115,1587484375.2344615
-107:27:43.4,50:19:50.5,116,1587484378.8080888
-107:05:03.3,50:23:24.9,117,1587484382.3834329
-106:48:00.9,50:26:02.6,118,1587484385.9578092
-106:25:14.6,50:29:28.5,119,1587484389.5311053
-106:02:25.0,50:32:49.6,120,1587484393.139935
-105:45:15.5,50:35:17.2,121,1587484396.7151363
-105:22:20.0,50:38:29.8,122,1587484400.2886174
-105:05:06.3,50:40:51.0,123,1587484403.8629696
-104:42:05.2,50:43:54.9,124,1587484407.4706683
-104:19:01.0,50:46:53.9,125,1587484411.0444355
-104:01:40.8,50:49:04.9,126,1587484414.6186476
-103:38:31.4,50:51:55.1,127,1587484418.192263
-103:21:07.3,50:53:59.5,128,1587484421.766431
-102:57:52.8,50:56:41.1,129,1587484425.3401573
-102:40:25.1,50:58:38.9,130,1587484428.9152133
-102:17:05.8,51:01:11.6,131,1587484432.4890535
-101:53:43.8,51:03:39.2,132,1587484436.0627477
-101:36:10.7,51:05:26.6,133,1587484439.6374278
-101:12:44.3,51:07:45.3,134,1587484443.210901
-100:55:08.0,51:09:26.0,135,1587484446.7854252
-100:31:37.5,51:11:35.7,136,1587484450.3588183
-100:13:58.1,51:13:09.7,137,1587484453.9335954
-99:50:23.7,51:15:10.4,138,1587484457.5112326
-99:26:47.1,51:17:06.1,139,1587484461.0813887
-99:09:03.4,51:18:29.4,140,1587484464.655416
-98:45:23.4,51:20:15.9,141,1587484468.2296832
-98:27:37.1,51:21:32.4,142,1587484471.8044844
-98:03:53.9,51:23:09.9,143,1587484475.3788586
-97:46:05.3,51:24:19.6,144,1587484478.9857922
-97:22:19.2,51:25:47.9,145,1587484482.5589876
-96:58:31.4,51:27:11.0,146,1587484486.1338747
-96:40:39.7,51:28:09.8,147,1587484489.7136757
-96:16:49.4,51:29:23.8,148,1587484493.3158615
-95:58:55.9,51:30:15.7,149,1587484496.8916
-95:35:03.5,51:31:20.4,150,1587484500.465825
-95:11:09.9,51:32:19.9,151,1587484504.0386453
-94:53:14.1,51:33:01.0,152,1587484507.6125433
-94:29:18.8,51:33:51.2,153,1587484511.1869476
-94:11:21.7,51:34:25.4,154,1587484514.7610207
-93:47:24.9,51:35:06.3,155,1587484518.335183
-93:29:26.8,51:35:33.5,156,1587484521.9085498
-93:05:28.9,51:36:05.2,157,1587484525.486459
-92:41:30.4,51:36:31.6,158,1587484529.0901089
-92:23:31.2,51:36:47.9,159,1587484532.6650722
-91:59:32.0,51:37:04.9,160,1587484536.2381132
-91:41:32.4,51:37:14.2,161,1587484539.845866
-91:17:32.9,51:37:22.0,162,1587484543.4194443
-90:59:33.1,51:37:24.4,163,1587484546.9939616
-90:35:33.4,51:37:22.8,164,1587484550.5682106
-90:11:33.8,51:37:16.0,165,1587484554.1414847
-89:53:34.1,51:37:07.4,166,1587484557.716064
-89:29:34.9,51:36:51.2,167,1587484561.2897463
-89:11:35.6,51:36:35.7,168,1587484564.8643322
-88:47:37.1,51:36:10.2,169,1587484568.471393
-88:23:39.0,51:35:39.5,170,1587484572.0922816
-88:05:40.8,51:35:13.0,171,1587484575.6861758
-87:41:43.8,51:34:33.0,172,1587484579.2935927
-87:23:46.6,51:33:59.5,173,1587484582.8675556
-86:59:51.1,51:33:10.2,174,1587484586.4411428
-86:35:56.5,51:32:15.7,175,1587484590.0486708
-86:18:01.3,51:31:31.3,176,1587484593.6566706
-85:54:08.5,51:30:27.5,177,1587484597.2300775
-85:36:14.8,51:29:36.2,178,1587484600.8375094
-85:12:24.3,51:28:23.2,179,1587484604.4471931
-84:48:35.1,51:27:05.0,180,1587484608.0187263
-84:30:44.2,51:26:02.8,181,1587484611.5925996
-84:06:57.7,51:24:35.4,182,1587484615.1992114
-83:49:08.9,51:23:26.4,183,1587484618.7739625
-83:25:25.2,51:21:49.9,184,1587484622.3480947
-83:07:38.7,51:20:34.1,185,1587484625.9219918
-82:43:58.2,51:18:48.4,186,1587484629.5287316
-82:20:19.7,51:16:57.6,187,1587484633.1362813
-82:02:37.1,51:15:31.1,188,1587484636.7427442
-81:39:02.2,51:13:31.2,189,1587484640.35076
-81:21:22.5,51:11:57.9,190,1587484643.9582927
-80:57:51.4,51:09:49.0,191,1587484647.532053
-80:34:22.7,51:07:35.0,192,1587484651.138959
-80:16:47.7,51:05:51.2,193,1587484654.714012
-79:53:23.3,51:03:28.2,194,1587484658.3209586
-79:35:51.6,51:01:37.7,195,1587484661.9281394
-79:12:31.7,50:59:05.9,196,1587484665.563769
-78:49:14.5,50:56:29.0,197,1587484669.1415212
-78:31:48.4,50:54:28.1,198,1587484672.7162592
-78:08:36.1,50:51:42.4,199,1587484676.3237221
-77:51:13.7,50:49:34.9,200,1587484679.9307878
-77:28:06.5,50:46:40.5,201,1587484683.537412
-77:05:02.4,50:43:41.1,202,1587484687.1450734
-76:47:46.3,50:41:23.3,203,1587484690.7516744
-76:24:47.7,50:38:15.3,204,1587484694.3254206
-76:07:35.8,50:35:51.0,205,1587484697.8994327
-75:44:42.9,50:32:34.4,206,1587484701.5079215
-75:21:53.3,50:29:12.9,207,1587484705.0809515
-75:04:48.3,50:26:38.6,208,1587484708.6552508
-74:42:04.8,50:23:08.6,209,1587484712.2617257
-74:25:04.4,50:20:28.0,210,1587484715.8699143
